date,symbol,prob,signal,strength,price,score,result,forward_ret_5,correct
2025-11-23,BTC,0.455272,NEUTRO,NEUTRO,85379.5,0.0,,,
2025-11-23,ETH,0.498191,NEUTRO,NEUTRO,2782.961426,0.0,,,
2025-11-23,SOL,0.385668,NEUTRO,NEUTRO,128.496063,0.0,,,
2025-11-23,BNB,0.154525,SHORT,FUERTE,837.381836,0.845475,,,
2025-11-23,XRP,0.100073,SHORT,FUERTE,1.966031,0.899927,,,
2025-11-23,ADA,0.51595,NEUTRO,NEUTRO,0.404959,0.0,,,
2025-11-23,BTC,0.444576,NEUTRO,NEUTRO,86013.335938,0.0,,,
2025-11-23,ETH,0.489442,NEUTRO,NEUTRO,2817.359131,0.0,,,
2025-11-23,SOL,0.380751,NEUTRO,NEUTRO,129.636108,0.0,,,
2025-11-23,BNB,0.148692,SHORT,FUERTE,844.796936,0.851308,,,
2025-11-23,XRP,0.090874,SHORT,FUERTE,2.029818,0.909126,,,
2025-11-23,ADA,0.507127,NEUTRO,NEUTRO,0.409017,0.0,,,
2025-11-23,BTC,0.430275,NEUTRO,NEUTRO,86707.882812,0.0,,,
2025-11-23,ETH,0.538742,NEUTRO,NEUTRO,2826.827393,0.0,,,
2025-11-23,SOL,0.374675,NEUTRO,NEUTRO,130.966507,0.0,,,
2025-11-23,BNB,0.190212,SHORT,FUERTE,846.693726,0.809788,,,
2025-11-23,XRP,0.102785,SHORT,FUERTE,2.053729,0.897215,,,
2025-11-23,ADA,0.513399,NEUTRO,NEUTRO,0.412924,0.0,,,
2025-11-23,BTC,0.421556,NEUTRO,NEUTRO,87466.960938,0.0,,,
2025-11-23,ETH,0.5419,NEUTRO,NEUTRO,2826.089111,0.0,,,
2025-11-23,SOL,0.367566,NEUTRO,NEUTRO,132.859634,0.0,,,
2025-11-23,BNB,0.186331,SHORT,FUERTE,849.776184,0.813669,,,
2025-11-23,XRP,0.100297,SHORT,FUERTE,2.069399,0.899703,,,
2025-11-23,ADA,0.516435,NEUTRO,NEUTRO,0.412231,0.0,,,
